% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=342244, Fri Jan 17 15:28:12 2020, <python>{}</python>
1 9 0.3694688829015505 1.0000416675347343 105.93129 1.0593128967285156e+02 223.48944 598.80426   
2 18 0.39654583767342727 1.1752122734374457 50.39984 5.0399841308593750e+01 119.84372 210.12698   
3 27 0.426530167587049 1.3555892299931005 14.626001 1.4626001358032227e+01 53.657417 200.11519   
4 36 0.42629493779516126 1.475190539596644 8.481724 8.4817237854003906e+00 92.77246 151.55731   
5 45 0.4138800841386826 1.6950001035269395 4.7386413 4.7386412620544434e+00 34.03643 101.394806   
6 54 0.3889793763137882 1.7706771708879596 4.7386413 8.6473140716552734e+00 38.57351 159.2153   
7 63 0.3602277790035289 1.9206738001579104 4.7386413 5.9666132926940918e+00 41.679417 119.46124   
8 72 0.35237211773344146 1.8524096777723147 4.7386413 5.9881997108459473e+00 24.123766 117.17704   
9 81 0.3089196294467524 1.8591252435207504 4.7386413 7.2260780334472656e+00 45.32259 110.83533   
10 90 0.2794763978414974 1.9417353010025387 4.7386413 1.2090507507324219e+01 24.54582 37.261536   
11 99 0.24169240436072167 2.051264067995507 4.7386413 7.6361408233642578e+00 15.812911 81.98958   
12 108 0.2120700339991139 2.1627120091747436 3.8720908 3.8720908164978027e+00 9.217264 106.94207   
13 117 0.20564371008773244 2.297088083388112 3.8720908 4.8766322135925293e+00 8.570067 22.51036   
14 126 0.19039035164016255 2.392658957319311 3.8720908 7.2044429779052734e+00 8.787629 31.890327   
15 135 0.17584012424928094 2.3851028575225546 3.8720908 5.8982620239257812e+00 9.881014 18.23471   
16 144 0.162416273089325 2.169444478692219 3.8720908 4.5453743934631348e+00 7.201744 11.305395   
17 153 0.14859773983862826 2.261293889744073 3.750919 3.7509191036224365e+00 5.8200817 7.311267   
18 162 0.1374631871390876 2.314332458299545 3.750919 4.2051830291748047e+00 5.5478735 6.8097806   
19 171 0.11863413066480094 2.4667186159929186 3.750919 3.7653954029083252e+00 4.8006973 6.201688   
20 180 0.11169948462936972 2.6384761547704496 3.6729422 3.6729421615600586e+00 4.570715 6.100504   
21 189 0.10339245151501864 2.5080206192128314 3.580116 3.5801160335540771e+00 4.2437677 5.0185504   
22 198 0.09168032144207716 2.523891516824682 3.3905263 3.3905262947082520e+00 4.2590675 4.7658863   
