% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=342244, Fri Jan 17 15:28:12 2020
1 9 -0.07367718139362037 -0.0009756104887629318 0.0020666772338343194 0.09564239960100297 1 1 1 1 1 1
2 18 -0.15521485454703032 -0.002267229524549151 0.0012048910287993195 0.14183280399422266 1 1 1 1 1 1
3 27 -0.17288231092628728 -0.0006117170696912045 0.035060087351930475 0.2316140466385518 1 1 1 1 1 1
4 36 -0.23951161268073648 -0.003287192965727747 0.011783013377082149 0.29860702409416284 1 1 1 1 1 1
5 45 -0.2056075568703965 -0.031077053288285295 0.024373174359566336 0.32515580554873263 1 1 1 1 1 1
6 54 -0.18234440841062585 -0.048193905113009035 0.03436098217361902 0.39102327777200585 1 1 1 1 1 1
7 63 -0.19839726423354898 -0.009868127935170742 0.02804044508349419 0.4345393828537514 1 1 1 1 1 1
8 72 -0.17313907866222797 -0.00675426342880049 0.018805755861573573 0.3973902465641492 1 1 1 1 1 1
9 81 -0.1337105606388114 -0.0016628407577310483 0.003925662996675588 0.37484877685861223 1 1 1 1 1 1
10 90 -0.16265997730076193 -0.0015271319413405835 0.0008154339461387378 0.4700344917901975 1 1 1 1 1 1
11 99 -0.22494130974333554 -0.018211848030333228 0.009532293014604655 0.45698310200210485 1 1 1 1 1 1
12 108 -0.21936753273315918 -0.0010999088677629309 0.0018523299508960596 0.4596665281823214 1 1 1 1 1 1
13 117 -0.24318640113210127 -0.000995917830565846 0.012057668205851644 0.48559594790960237 1 1 1 1 1 1
14 126 -0.19681427503582305 -0.02517275122232964 0.006361592651445041 0.509904346182084 1 1 1 1 1 1
15 135 -0.19098894090628796 -0.05397341714182993 0.009007123425936507 0.4967690061161389 1 1 1 1 1 1
16 144 -0.2556605001260688 -0.02181787409021449 0.002580366272156483 0.5118629555851818 1 1 1 1 1 1
17 153 -0.2901373818260805 -0.0005743461132050101 0.21597515895804803 0.504658748608287 1 1 1 1 1 1
18 162 -0.2914215957522561 -0.010934655543503884 0.032243252507638036 0.49815765050415606 1 1 1 1 1 1
19 171 -0.26192776764330183 -0.02927411880372478 0.009276450051653347 0.5910616953761058 1 1 1 1 1 1
20 180 -0.3333765972215857 -0.04162755370722092 0.12348137684995891 0.573720166442348 1 1 1 1 1 1
21 189 -0.3505491939866668 -0.04198198480420812 0.1663900382641581 0.5650326403608184 1 1 1 1 1 1
22 198 -0.4006464892678287 -0.045745272091825384 0.00021933303052162879 0.5584978860906427 1 1 1 1 1 1
