% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=342244, Fri Jan 17 15:28:12 2020, <python>{}</python>
1 9 0.3694688829015505 0 0 0.3647334874966163 0.37812801120332457 0.36909917367632494 0.3538958893061865 0.35358129222299195 0.37002499400223265
2 18 0.39654583767342727 0 0 0.3940417405509539 0.39702787217546553 0.43061669609469333 0.38673042570380367 0.38956227923661363 0.38437120556234416
3 27 0.426530167587049 0 0 0.409760108291797 0.43596166803792413 0.4565115274379697 0.40719012360504475 0.46886485936303124 0.40743295698794496
4 36 0.42629493779516126 0 0 0.40163486156602374 0.4080035183962359 0.4596166930400465 0.41105542629059005 0.46999569256005147 0.4017647650355557
5 45 0.4138800841386826 0 0 0.3703853769267882 0.4061853411514267 0.4479863156610374 0.3795536060589396 0.4339870528809934 0.3921440283075556
6 54 0.3889793763137882 0 0 0.3293343475873588 0.37424367387919444 0.421575145962923 0.36166474767838674 0.3865122141434615 0.3681764621111188
7 63 0.3602277790035289 0 0 0.29922245733417 0.3319261727392311 0.3765671221349833 0.34502540944688803 0.32940418633017216 0.3510907089655505
8 72 0.35237211773344146 0 0 0.27104106008548434 0.33448651989248385 0.3456189562438102 0.3479435733721224 0.3126909665315543 0.35270638364385143
9 81 0.3089196294467524 0 0 0.23094562722788217 0.2938554168348667 0.30174039284806714 0.27774799288328794 0.25467550986429266 0.3133494157885284
10 90 0.2794763978414974 0 0 0.21139278121683983 0.26378655918814564 0.2781045260368684 0.24588601582031272 0.22356565408159543 0.2806954933726327
11 99 0.24169240436072167 0 0 0.18782143233568174 0.22831976409240462 0.23726746936786675 0.21436145769836407 0.18275056162836953 0.22593393286940575
12 108 0.2120700339991139 0 0 0.1643729600919624 0.19443097775017573 0.20600666333570022 0.17993020345620533 0.1538883862278265 0.20113601924177105
13 117 0.20564371008773244 0 0 0.1603272245248283 0.19044411955495053 0.18662577675569658 0.17805158524668693 0.14674156482257986 0.20377239017930907
14 126 0.19039035164016255 0 0 0.15208670836871055 0.16869132934890302 0.17320986189651671 0.15682410700684893 0.1278212655930341 0.19261806342879123
15 135 0.17584012424928094 0 0 0.13715669942405218 0.14669070474608145 0.15493316950592442 0.14094128757205351 0.11945280791023277 0.17384432037229466
16 144 0.162416273089325 0 0 0.1258502193770922 0.1347091713243698 0.1467217532609167 0.1240184720752779 0.10275174794874115 0.1590146303446009
17 153 0.14859773983862826 0 0 0.11333238796322778 0.11896052196203374 0.12463065798338649 0.11477071616067662 0.09270696558187862 0.14776023346859088
18 162 0.1374631871390876 0 0 0.10321574529529386 0.10679763129070284 0.11277925156333321 0.10433872760587633 0.08414008571078722 0.13713390530742747
19 171 0.11863413066480094 0 0 0.08897614725442489 0.08887708816829072 0.09447286543447168 0.08903447060104144 0.07326630427126246 0.11611173299401227
20 180 0.11169948462936972 0 0 0.08148949606898016 0.08379067655726348 0.08679692196705309 0.08757835456355456 0.06964975179773861 0.10408427951767968
21 189 0.10339245151501864 0 0 0.06982428753423973 0.07640648845816791 0.07712873522683088 0.08117915877375384 0.06483490871560683 0.09478878166783465
22 198 0.09168032144207716 0 0 0.05825500629296947 0.06670920614332762 0.06708403293425452 0.07092336273394197 0.05831883911139632 0.08538741421995258
