% # columns="iter, evals, sigma, 0, fitness, xbest" seed=152017, Wed Jan 15 16:54:24 2020, <python>{}</python>
1 8 0.19478823328405978 0 0.14233576782500024 0.2799320100581698 0.6074226255824059 0.754991670023831 0.4568867689504683
2 16 0.24058423682679503 0 0.03730523862500012 0.060442340258322125 0.5145116732063254 0.7686341856987655 0.04149741850590688
3 24 0.34216136752500936 0 0.002299913299999983 -0.1646114758838748 0.2805162479062901 1.381367081969389 0.08291237390508055
4 32 0.31007678174356845 0 0.03344977160000033 0.01186643828706635 0.42817184155841614 0.9662692876319015 0.4861658984002817
5 40 0.27555361912038384 0 0.005302055200000076 -0.110811014764085 0.20583794413662887 1.0054857864901414 0.18203618355783152
6 48 0.26256594869432065 0 0.0022710474249999666 -0.23523433531649274 0.10250106179159993 1.0353085421318884 0.15930865385661352
7 56 0.26875934705724047 0 0.00044262500000002514 -0.18923539222537608 -0.06092889860725692 1.6637004564381934 0.35119316387717797
8 64 0.2568945595283746 0 0.0015505095999999586 -0.23481191094920317 0.16404421113764536 1.634730116191399 -0.004082350565691978
9 72 0.20860011301663267 0 0.0005280021000000105 -0.17908276805461085 0.07323716851261085 1.5269439790501251 0.07739365919932302
10 80 0.20965674098855622 0 0.0007534824999999663 -0.21748241729658624 0.151841114255606 1.3856839120441429 -0.10775890863277215
11 88 0.17492146463900923 0 6.510820000000966e-05 -0.1897144641146989 -0.0007154994596847153 1.1983761584676853 -0.03697405069534964
